rank, player_id, score, time, spm
124,hossen1234,185798264,3852:05:00,803.89
125,jodiscratch,185761964,7188:41:40,430.68
126,x1919-072,185573373,5731:46:40,539.6
127,kazu1105ike,185504335,4086:23:20,756.59
128,betterthanaaron,185048057,3657:08:20,843.32
129,klatt-splatt,184711788,3787:46:40,812.75
130,Raztix,183741126,4185:56:40,731.58
131,ri-nrin,183304005,4293:01:40,711.63
132,GEAN_TATTOO,183273725,4072:13:20,750.1
133,NotStrictlyLegal,182921678,8185:40:00,372.44
134,Iam_Mr_Tow_For_U,182286740,3309:18:20,918.05
135,MazingaZ_,182221443,4410:50:00,688.54
136,MadZzack,182100793,7630:45:00,397.73
137,SLFBI,182078725,3299:38:20,919.69
138,djpm2am,181942983,5765:28:20,525.96
139,LuCaSVIXI,181899132,4601:33:20,658.83
140,T-o-m-m-y-77,181717063,8649:43:20,350.14
141,yu_n279,180575579,2117:06:40,1421.56
142,ETTI-1976,180536578,5501:05:00,546.97
143,cyberjapa,180376994,4701:16:40,639.46
144,buckeye8810,180293564,3775:05:00,795.98
145,kw-5581,180236188,3666:08:20,819.37
146,CommanderMiku,180078642,4908:23:20,611.47
147,worldhealth,180050216,3003:20:00,999.17
148,nm207ken,179971955,4460:11:40,672.51
149,cloudrobson,179766307,5361:58:20,558.77
150,IEMON_0820,179710726,4413:51:40,678.58
151,audirsline,179266322,3661:05:00,816.09
152,LuminaryLude,178644330,2970:21:40,1002.37
153,soldier-eddy,178292305,3638:18:20,816.74
154,a4KLU935h,177411417,4885:05:00,605.28
155,trav3640,177262528,3777:05:00,782.18
156,Jan-07,177064789,4222:58:20,698.82
157,hatebf4,177058512,7873:50:00,374.78
158,jogador373737,176783013,5555:45:00,530.33
159,Megalodon99,176167380,3042:45:00,964.96
160,ASDS978409,175885997,2571:28:50,1139.98
161,western6guns,175821831,4507:10:00,650.16
162,kksy020,175591341,4645:31:40,629.97
163,PRAH-BLEMZ,175206502,4281:13:20,682.07
164,Killerturtle666,175166802,2618:43:10,1114.84
165,GrimHunter_,174839184,3871:16:40,752.72
166,gotpot47,174660220,8341:40:00,348.97
167,AsB-Xande,174617713,3670:33:20,792.88
168,marco-pa77,173763946,4513:46:40,641.61
169,Dorito-Jones,173581731,9320:41:40,311.49
170,padro1geezzy,173035168,6890:31:40,418.53
171,maas502,172824904,8272:28:20,348.19
172,Gummie_Bears86,171359211,3258:20:00,876.52
173,DeutscheKobra,171256238,3883:06:40,735.05
174,spartacus5757,171245931,3420:06:40,834.5
175,tk_mio,170994912,3405:41:40,836.81
176,Delarocha34,170136959,3191:25:00,888.51
177,Kolya322,169892991,5216:36:40,542.79
178,Oldboy_236,169735216,3831:48:20,738.27
179,SelseyRKTEAM,169725718,4204:06:40,672.86
180,XGA_1_,169295428,4538:06:40,621.75
181,Gladosen,169206721,4528:21:40,622.77
182,ChasingHeaven,169126049,2150:59:20,1310.45
183,big_j-indiana,168997452,4862:25:00,579.26
184,Camembert80en,168992359,3280:55:00,858.46
185,ARMELY2008,168896311,3217:46:40,874.81
186,Lacus_Assault,168884634,2257:27:40,1246.86
187,asutoria4645,168678972,2388:12:20,1177.17
188,UnknowableHaxxor,168426882,2730:55:50,1027.9
189,masa_ki_Y,168313642,5668:05:00,494.92
190,pavlooR32,167685923,7013:36:40,398.48
191,hhmj68,167395313,5549:40:00,502.72
192,DEFDEW,165998028,4730:06:40,584.9
